Current Time: Tue Jul 21 13:02:53 2020


                        Number of buffers:  7
                      Number of producers:  5
                      Number of consumers:  3
Number of items produced by each producer:  16
Number of items consumed by each consumer:  26
                         Over consume on?:  1
                     Over consume ammount:  2
      Time each Producer sleeps (seconds):  1
      Time each Consumer sleeps (seconds):  1

       1 was produced by producer ->       1
       2 was produced by producer ->       2
       3 was produced by producer ->       3
       1 was consumed by consumer ->       3
       4 was produced by producer ->       5
       2 was consumed by consumer ->       1
       5 was produced by producer ->       4
       3 was consumed by consumer ->       2
       6 was produced by producer ->       3
       7 was produced by producer ->       5
       8 was produced by producer ->       4
       9 was produced by producer ->       2
      10 was produced by producer ->       1
       4 was consumed by consumer ->       1
       5 was consumed by consumer ->       2
       6 was consumed by consumer ->       3
       7 was consumed by consumer ->       3
      11 was produced by producer ->       4
      12 was produced by producer ->       2
      13 was produced by producer ->       5
      14 was produced by producer ->       1
       8 was consumed by consumer ->       1
      15 was produced by producer ->       3
       9 was consumed by consumer ->       2
      16 was produced by producer ->       5
      10 was consumed by consumer ->       1
      17 was produced by producer ->       2
      11 was consumed by consumer ->       2
      18 was produced by producer ->       1
      12 was consumed by consumer ->       3
      19 was produced by producer ->       4
      13 was consumed by consumer ->       1
      20 was produced by producer ->       5
      14 was consumed by consumer ->       2
      21 was produced by producer ->       1
      15 was consumed by consumer ->       3
      22 was produced by producer ->       2
      16 was consumed by consumer ->       3
      23 was produced by producer ->       5
      17 was consumed by consumer ->       1
      24 was produced by producer ->       3
      18 was consumed by consumer ->       2
      25 was produced by producer ->       4
      19 was consumed by consumer ->       1
      26 was produced by producer ->       1
      20 was consumed by consumer ->       2
      27 was produced by producer ->       2
      21 was consumed by consumer ->       3
      28 was produced by producer ->       3
      22 was consumed by consumer ->       3
      29 was produced by producer ->       1
      23 was consumed by consumer ->       1
      30 was produced by producer ->       5
      24 was consumed by consumer ->       2
      31 was produced by producer ->       3
      25 was consumed by consumer ->       3
      32 was produced by producer ->       1
      26 was consumed by consumer ->       1
      33 was produced by producer ->       2
      27 was consumed by consumer ->       2
      34 was produced by producer ->       4
      28 was consumed by consumer ->       3
      35 was produced by producer ->       3
